name,price,socket,ram_type,ram_slots_count
ASRock Z170 Gaming-ITX/ac,0,6,2,2
ASRock Z170 OC Formula USB3.1/DP/HDMI/M.2/SATAe,14909,6,2,4
ASRock Z170 Pro4/D3 USB3.0/SATA600/DVI/HDMI/M.2/SATAe,0,6,1,4
ASRock Z170A-X1,4899,6,2,4
ASRock Z170M Pro4S USB3.0/SATA600/DVI/HDMI/M.2,0,6,2,4
ASRock Z170M-ITX/AC,0,6,2,2
ASRock Z270 Extreme4,11199,6,2,4
"ASRock Z270 SuperCarrier, Intel Z270",0,6,2,4
ASRock Z270 Taichi,11199,6,2,4
ASRock Z270M Extreme4,0,6,2,4
ASRock Z370 Extreme4,10517,6,2,4
ASRock Z370 Killer SLI,0,6,2,4
ASRock Z370 Taichi,11829,6,2,4
ASRock Z370M ITX/ac,9799,6,2,2
ASRock Z390 M Pro 4,8049,6,2,4
ASRock Z390 Phantom Gaming 4,8329,6,2,4
ASRock Z390 Phantom Gaming-ITX/AC,11339,6,2,2
ASRock Z390 Pro 4,7909,6,2,4
ASRock Z390 Taichi Ultimate,17849,6,2,4
ASRock Z390M-ITX/AC,10499,6,2,2
ASRock Z490 Aqua,72169,8,2,4
ASRock Z490 Extreme4,13299,8,2,4
ASRock Z490 PG Velocita,18199,8,2,4
ASRock Z490 Phantom Gaming 4,9799,8,2,4
ASRock Z490 Phantom Gaming 4/ac,0,8,2,4
ASRock Z490 Phantom Gaming-ITX/TB3,19599,8,2,2
ASRock Z490 Pro4,11899,8,2,4
ASRock Z490 Steel Legend,11549,8,2,4
ASRock Z490 Taichi,24569,8,2,4
ASRock Z490M Pro4,10499,8,2,4
ASRock Z490M-ITX/ac,11199,8,2,2
ASRock Z590 Extreme,7629,8,2,4
ASRock Z590 PG Velocita,8539,8,2,4
ASRock Z590 Phantom Gaming 4,5529,8,2,4
ASRock Z590 Pro4,4759,8,2,4
ASRock Z590 Steel Legend,6649,8,2,4
ASRock Z590 Taichi,17849,8,2,4
ASRock Z590M Phantom Gaming 4,9799,8,2,4
ASRock Z590M Pro4,6999,8,2,4
ASRock Z590M-ITX/ax,11899,8,2,2
ASRock Z790 LiveMixer,13999,9,3,4
ASRock Z790 PG Lightning/D4,15007,9,2,4
ASRock Z790 PG Riptide,19599,9,3,4
ASRock Z790 PG SONIC,17499,9,3,4
ASRock Z790 PG-ITX/TB4,20226,9,3,2
ASRock Z790 Pro RS,15399,9,3,4
ASRock Z790 Pro RS/D4,17267,9,2,4
ASRock Z790 Steel Legend WIFI,17499,9,3,4
ASRock Z790 Taichi,33599,9,3,4
ASRock Z790 Taichi Carrara,30099,9,3,4
ASRock Z790M PG Lightning/D4,12599,9,2,4
ASRock Z790M-ITX WIFI,14699,9,3,2
Asus A68HM-E,10402,16,1,2
Asus A68HM-K,0,16,1,2
ASUS A68HM-K GL/SATA600/R/USB3.0/DVI/VGA A68X,3430,16,1,2
Asus A68HM-PLUS,4270,16,1,2
